slug,name,github-url
coughcheckapp,OpenCOVID19CoughCheck,https://github.com/OpenCOVID19CoughCheck/CoughCheckApp
microcks,Microcks,https://github.com/microcks
pytables,PyTables,https://github.com/PyTables/PyTables
project-atlantis,The Atlantis Project,https://github.com/philipswan/TetheredRing
sched-ext,sched-ext,https://github.com/sched-ext/scx
cloudmusic-vscode,Cloudmusic Vscode,https://github.com/YXL76
sinuous,Sinuous,https://github.com/luwes/sinuous
openglobusjs,OPENGLOBUS-JS,https://github.com/openglobus/openglobus
simps,Simps,https://github.com/simps
gorush,Gorush,https://github.com/appleboy
awesome-python,awesome-python,https://github.com/vinta/awesome-python
proyecto26,Proyecto 26,https://github.com/proyecto26
live-code-london,Live Code London,https://github.com/livecodelondon
badgen,Badgen,https://github.com/badgen/badgen.net
we-cropper,we-cropper,https://github.com/we-plugin/we-cropper
dts-bundle-generator,dts-bundle-generator,https://github.com/timocov/dts-bundle-generator
portable-ascii,Portable ASCII,https://github.com/voku
pyinquirer,PyInquirer,https://github.com/CITGuru/PyInquirer
dribdat,Dribdat,https://github.com/dribdat
approach0,approach0,https://github.com/approach0
chinachu,Chinachu,https://github.com/Chinachu
gitcommitshow,Git Commit Show,https://github.com/Git-Commit-Show
polka,Polka,https://github.com/lukeed/polka
escolha-livre,Escolha Livre,https://github.com/avpaula
thinkphp,ThinkPHP,https://github.com/top-think
reconmap,Reconmap,https://github.com/reconmap
apollo,apollo,https://github.com/apolloconfig
photoslider,PhotoSlider,https://github.com/nakajijapan/PhotoSlider
oshackathon,OS Hackathon,https://github.com/oshackathon
zookeeper-docker,Zookeeper Docker,https://github.com/31z4/zookeeper-docker
iotsharp,IoTSharp,https://github.com/maikebing
vim-table-mode,vim-table-mode,https://github.com/dhruvasagar/vim-table-mode
sharpetronics,SharpeTronics,https://github.com/SharpeTronics
mango,Mango,https://github.com/hkalexling
woographql,WPGraphQL WooCommerce (WooGraphQL),https://github.com/wp-graphql/wp-graphql-woocommerce
fedml,FedML,https://github.com/FedML-AI
buape,Buape Studios,https://github.com/buape
splitjs,Split.js,https://github.com/nathancahill/split
unigram,Unigram,https://github.com/UnigramDev
rslint,RSLint,https://github.com/RDambrosio016/RSLint
schemathesis,Schemathesis,https://github.com/schemathesis/schemathesis
arnft,ARnft,https://github.com/webarkit/ARnft
tailwindcss-classnames,TailwindCSS Classnames,https://github.com/muhammadsammy/tailwindcss-classnames
sirixdb,SirixDB,https://github.com/sirixdb
wifi-passview,WiFi Passview,https://github.com/warengonzaga
go-admin,go-admin,https://github.com/chenhg5/go-admin
deepwto,DeepWTO,https://github.com/DeepWTO
tj-actions,TJ Actions,https://github.com/tj-actions
