slug,name,twitter-url
latinx-in-ai-research,LatinX in AI,https://twitter.com/_LXAI
techwo,TechWo,https://twitter.com/t3chwo
farstar,React course for beginners to support Ukraine,https://twitter.com/drag13
protoc-gen-ts,Protocol Buffers for Typescript,https://twitter.com/thesayynn
startupyoganyc,Startup Yoga NYC,https://twitter.com/startupyoganyc
softcraft,Softcraft - Open Apprenticeship,https://twitter.com/solojavier
air-uk,AIR UK - Against Institutional Racism UK,https://twitter.com/airukcollective
gridjs,Grid.js,https://twitter.com/afshinmeh
societyofladymakers,Society of Lady Makers,https://twitter.com/socofladymakers
thulite,Thulite,https://x.com/thuliteio
aflpluspluseu,AFLplusplus - Europe,https://twitter.com/hackerschoice
dplayer,DPlayer,https://twitter.com/DIYgod
fridays-for-future-turin,Fridays For Future Turin,https://twitter.com/F4F_Turin
sandiacre-mutual-aid,Sandiacre Mutual Aid,https://twitter.com/SandiacreAid
drupal-austria-association,Drupal Austria Association,https://twitter.com/drupalat
open-coop,The Open Co-op,https://twitter.com/open_coop
edjengi,Edjengi The Documentary,https://twitter.com/bruceparry
supabase-postgrest,Supabase PostgREST,https://twitter.com/supabase
logchimp,Logchimp,https://twitter.com/logchimp
nestdotland,nest.land,https://twitter.com/nestdotland
young-trustees-movement,Young Trustees Movement,https://twitter.com/youngtrustees
